track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
3sgebd31wwbZY8Uyda3yOC,Holes,0gadJ2b9A4SKsB1RFkBb66,Passenger,2sRnJq6dfXdqhIflBk0ve1,213173,2012-06-29,0,0.43,0.485,4,-7.271,1,0.0592,0.508,1.01e-06,0.117,0.519,150.956,3sgebd31wwbZY8Uyda3yOC,3sgebd31wwbZY8Uyda3yOC
1c1vQlMiJvtUxfN6dL5iin,I Feel Better,2AsusXITU8P25dlRNhcAbG,Gotye,1HjSyGjmLNjRAKgT9t1cna,198520,2011-01-01,34,0.655,0.866,9,-2.755,1,0.0364,0.214,0.0,0.385,0.723,130.01,1c1vQlMiJvtUxfN6dL5iin,1c1vQlMiJvtUxfN6dL5iin
79QW1soi9xbWuAOMuJxt2n,I Hate U,6MrdwyCIKbpXmTKQBlG3uq,Z-Ro,5e4Jx0GFwibie5ZfJW7QqO,272906,2008,0,0.694,0.9,4,-3.191,0,0.107,0.377,9.55e-06,0.162,0.775,77.398,79QW1soi9xbWuAOMuJxt2n,79QW1soi9xbWuAOMuJxt2n
6nJN1GYIHIdg1HQtrmJsqU,I Hit It First,6gbGGM0E8Q1hE511psqxL0,Ray J,3SVqHW2Hq7hOtkN0AGU4RT,205714,2013-04-09,44,0.647,0.702,0,-8.168,1,0.0677,0.0194,0.0,0.16,0.508,97.972,6nJN1GYIHIdg1HQtrmJsqU,6nJN1GYIHIdg1HQtrmJsqU
42SaVZF8JMng9y5WR1jNHh,I Know Love (feat. Pusha T),3KLnSYaRRa4Kur781SHxUL,Sterling Simms,5pyPZCl3Iv1Hi5bo7UHnIp,233320,2013-06-25,8,0.594,0.748,8,-6.079,1,0.375,0.0636,0.0,0.347,0.438,81.106,42SaVZF8JMng9y5WR1jNHh,42SaVZF8JMng9y5WR1jNHh
2975eOXzPqpHb3FtryzRMZ,I'm Not Introducing You,7EWU4FhUJM1sZQgQKdENeT,Hopsin,0Lw8kaquvurphtc65jD8i0,317580,2010-11-19,34,0.729,0.901,11,-6.909,0,0.0845,0.166,0.0,0.307,0.541,139.977,2975eOXzPqpHb3FtryzRMZ,2975eOXzPqpHb3FtryzRMZ
2IC0cKlmDwsgmi1zlVDbQk,Irie (feat. Wiz Khalifa),7c0XG5cIJTrrAgEC3ULPiq,Ty Dolla $ign,6SXkKOCnF2oOT4VH8OjcIx,225254,2013-07-30,40,0.793,0.648,0,-6.879,0,0.0455,0.368,0.0,0.194,0.73,129.937,2IC0cKlmDwsgmi1zlVDbQk,2IC0cKlmDwsgmi1zlVDbQk
50VNvhzyaSplJCKWchN7a8,Impossible,4IWBUUAFIplrNtaOHcJPRM,James Arthur,3RIbWmgITAscFxbuYl1XfM,209440,2012-12-09,7,0.431,0.671,0,-5.421,0,0.0604,0.238,0.0,0.0982,0.341,84.71,50VNvhzyaSplJCKWchN7a8,50VNvhzyaSplJCKWchN7a8
069deq5woglvUnWok4MqTe,It's Complicated,4NiJW4q9ichVqL1aUsgGAN,A Day To Remember,2kllnMabPw1hYID0MhQRK0,177240,2011-10-01,55,0.199,0.935,1,-3.471,1,0.157,0.000204,0.0,0.0628,0.637,195.012,069deq5woglvUnWok4MqTe,069deq5woglvUnWok4MqTe
17UtgFG2LXGufwDEQinvNn,Keep Her On The Low,2waKklOyXKNqhqIOmE4yBA,Mindless Behavior,5gDpW0JIt9qkS5jcJjvYBH,188133,2013-01-01,30,0.711,0.614,1,-6.088,1,0.211,0.0305,0.0,0.0652,0.653,77.054,17UtgFG2LXGufwDEQinvNn,17UtgFG2LXGufwDEQinvNn
