track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
0TNAK7LNCi7AKDZAbhWQXr,Never Too Busy,1UjTUqWfGkof4L5HO5NmzP,Kenny Lattimore,1H10hT3tMPtL2uD3rIQRUE,331560,1996-05-14,50,0.761,0.413,4,-10.137,0,0.0681,0.113,0.00197,0.09,0.733,167.947,0TNAK7LNCi7AKDZAbhWQXr,0TNAK7LNCi7AKDZAbhWQXr
2ZmUMKX5cJQfQj12SmGYtg,Nobody Else,08p7B5OtcUuVblvkQIlBhJ,Tyrese,1srJ4xgMWliQdwquG81ObA,232733,1998-08-31,39,0.697,0.684,7,-5.634,1,0.0897,0.00923,1.5e-05,0.136,0.596,91.882,2ZmUMKX5cJQfQj12SmGYtg,2ZmUMKX5cJQfQj12SmGYtg
0UH3m8uxVdQDCtG61CKMXE,It Had to Be You,3wVllS5itPK6rpHwfvNce4,Silk,1ujRHjYVLKXK7do7CnahUQ,248000,1992,40,0.69,0.654,1,-7.852,0,0.0322,0.00867,0.0,0.072,0.709,134.607,0UH3m8uxVdQDCtG61CKMXE,0UH3m8uxVdQDCtG61CKMXE
60NvAO9lx0KmBNAVHIlWN6,How Deep Is Your Love,1255GTUKNCLCTvH9ctD4cT,Dru Hill,6L5uROBQ5wy3MOPI334RHE,243360,1998-01-01,58,0.729,0.434,3,-9.111,0,0.079,0.0473,1.23e-05,0.314,0.743,94.411,60NvAO9lx0KmBNAVHIlWN6,60NvAO9lx0KmBNAVHIlWN6
5PMKzsUsTpZZGsCcJBuhP2,"U Know What's Up (feat. Lisa ""Left Eye"" Lopes)",5KNqYrivNgVCHBssEUSu5B,Donell Jones,01riz9JMpPdL99fYhoZaph,243733,1999-05-29,64,0.854,0.543,8,-6.166,0,0.0844,0.0402,5.73e-05,0.0419,0.868,103.032,5PMKzsUsTpZZGsCcJBuhP2,5PMKzsUsTpZZGsCcJBuhP2
1CAw3ethNuSDPf3E7luSFF,Faded Pictures,5aEWnrN8h3MhuFUPRfaVuy,Case,3UuOV0067Agbr3L9bE1D9K,229773,1999-01-01,59,0.705,0.511,6,-7.422,0,0.202,0.125,1.72e-06,0.153,0.581,82.011,1CAw3ethNuSDPf3E7luSFF,1CAw3ethNuSDPf3E7luSFF
1cjBan0t4eBk2Y5j17hdyf,Bring It All to Me (feat. *NSYNC),1nSRa2YjjFWJLHGKM07oGQ,Blaque,4M3ZR714EWG904OX0XXQbp,218186,1999-05-28,56,0.695,0.579,0,-5.066,1,0.0325,0.000479,0.0,0.0556,0.726,88.957,1cjBan0t4eBk2Y5j17hdyf,1cjBan0t4eBk2Y5j17hdyf
3jDdpx9PMlfMBS5tOBHFm9,Return of the Mack,6V3F8MZrOKdT9fU686ybE9,Mark Morrison,6plavTFCGXv5vpy0jZVtOV,213093,1996-04-22,73,0.715,0.833,2,-5.379,1,0.108,0.00631,0.0,0.164,0.612,95.487,3jDdpx9PMlfMBS5tOBHFm9,3jDdpx9PMlfMBS5tOBHFm9
5kHgrRO3hMDPehtH9VhYQc,"No, No, No Pt. 2 (feat. Wyclef Jean)",1Y8cdNmUJH7yBTd9yOvr5i,Destiny's Child,3zB2PjaK4CDzxBErKvDvfo,207466,1998-02-17,54,0.67,0.582,1,-3.574,1,0.224,0.3,0.0,0.0845,0.675,181.841,5kHgrRO3hMDPehtH9VhYQc,5kHgrRO3hMDPehtH9VhYQc
0yNCFwihschpOwSgK31f2O,Hit Me Off,1mFX1QlezK1lNPKQJkhwWb,New Edition,6fRUYwwUOmQbuwe9KujqQG,261399,1996-01-01,52,0.72,0.719,7,-4.571,0,0.0882,0.185,0.000128,0.522,0.899,88.987,0yNCFwihschpOwSgK31f2O,0yNCFwihschpOwSgK31f2O
