track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
7vKG1DfryZiZiTX2KVFTz8,Warm on a Cold Night,0Vw76uk7P8yVtTClWyOhac,HONNE,2nDZpdEsAU4ULpAaM5PE7d,261594,2015-04-10,41,0.342,0.609,8,-5.68,1,0.0943,0.185,0.00052,0.0799,0.401,82.989
2BIYUIFQeCUYnwq4l1cJGs,Love Stands Tall,4Wm66SItUBLYFqJq03WH6d,John Tibbs,73G3973nlmp9UY9DKgVRkH,236946,2016-02-05,11,0.66,0.689,7,-5.435,1,0.0329,0.166,0.0,0.129,0.465,92.011
0rG2BChMZVu4thkwM7i7Y1,Astronomia,4NH2deLFDDB0YeV3PNLjWQ,32Stitches,3Atump63aSezVQRnlORnV3,176571,2019-12-09,45,0.614,0.884,7,-5.785,0,0.051,0.0192,0.427,0.117,0.45,140.006
1CripirY5YR5NL1EZSu9hG,Astronomia - Remix,0P2nqPOOLzrkl0Qd8bAKwx,Spark,1RyvMWZPjN6LGGPzmbYmn4,146259,2019-08-28,45,0.589,0.705,4,-7.503,1,0.447,0.233,0.00322,0.0266,0.391,127.991
1Dza0p6hLzPTWKHt1ftOVU,"Astronomia - Santti, Dan K Remix",2jpQ0ywffgVHhZFQNWaWYW,Tony Igy,7zRH1ToIcWm4G9yyGh8zWT,129677,2019-04-12,44,0.773,0.894,6,-3.987,0,0.044,0.0164,0.462,0.165,0.289,124.01
1vxTBDWawhMsqWOZ4rMoJH,Astronomia - remix,5fW4Yi4vE4RyFcptjX4hZ3,Sesi,0x9nUgCtHCTqB1EOEeHWsK,351257,2020-04-10,27,0.683,0.962,6,-5.599,0,0.375,0.00139,0.0117,0.0764,0.336,174.958
1b1YB46gEs7YqjRuwtFFPH,Astronomia 2K19 - Workout Remix 130 bpm,5JFDqK3kLIAGJl8zPDHSAk,Stephan F,51U46kMZIsOm3WuNPBuoRg,206770,2019-08-28,35,0.68,0.709,6,-5.49,0,0.325,0.000168,0.898,0.0692,0.578,129.923
6kTvEmdMfvXXXZp9jkX5rT,Peter Møller Drømmemål - (Vicetone & Tony Igy - Astronomia Remix),1I3NlW1aUZQEHw4XvDtSvI,vingen,7pYR0qOQbCOakrMX6opWTE,183943,2019-08-09,26,0.457,0.968,7,0.86,0,0.333,0.173,0.0,0.601,0.439,125.778
3xmaPIAu2fZlWs1zIwFGe2,Astronomia - Vishwesh Remix,1EaXmv7TWlE65zVC9aEPIG,Vishwesh Pathak,0dKZueKLCpRakEV31CLv85,197970,2020-04-26,14,0.697,0.769,6,-4.409,0,0.123,0.0238,0.933,0.199,0.179,125.996
2BLZ66dQXbXCbBrjKOQRoB,Aquecimento Astronomia no Beat Megatron - Remix,3eA45N54gSzt6D6mHFPaKB,DL SANTOS,4PjFzfiWuSsUufCshGHkUH,203221,2020-04-23,26,0.609,0.696,6,-3.336,0,0.271,0.0845,0.104,0.122,0.647,73.77
1Crczb86gYHQ8xZ3mOG7Yj,Astronomia Cumbia Remix,6nYkQZXt1BPbVrmd4vAXJZ,Dj Gecko,4LZPaYvHDeNVHAsUprnQHf,151650,2020-04-23,30,0.784,0.707,5,-5.339,0,0.115,0.266,0.684,0.124,0.972,149.976
2qtzGVlinYXtP88m7J9Tbt,Astronomia,0K3HwnyYaxoQO9hZCBLtOH,LANNÉ,7fcF0wMkfhN4PXz7eBo4pS,125625,2020-05-15,50,0.773,0.856,8,-5.477,0,0.222,0.0567,0.206,0.211,0.197,127.962
7ABSXwifPYaITe7cbAHOpV,Reunited in the Grave,4ZYfJQ4ifRU9q4zGCY9cLJ,When Nothing Remains,0Gj4DtLewbzwmFZApKfrQR,653263,2016-02-22,15,0.39,0.61,2,-7.622,0,0.0324,0.0258,0.779,0.382,0.0729,99.823
7fvFVa4zDBxQq8STgBxu67,Drowning in Sorrows,4ZYfJQ4ifRU9q4zGCY9cLJ,When Nothing Remains,0Gj4DtLewbzwmFZApKfrQR,349510,2016-02-22,12,0.252,0.637,11,-7.051,0,0.0378,0.109,0.89,0.0652,0.105,119.775
5gZMDtwSouul943OelDz9y,Ghost Story,4ZYfJQ4ifRU9q4zGCY9cLJ,When Nothing Remains,0Gj4DtLewbzwmFZApKfrQR,472006,2016-02-22,11,0.272,0.814,4,-8.054,0,0.057,0.00127,0.877,0.0789,0.105,179.807
71PVVrFdorxTAoIRhGqrvg,In Memoriam,4ZYfJQ4ifRU9q4zGCY9cLJ,When Nothing Remains,0Gj4DtLewbzwmFZApKfrQR,411006,2016-02-22,10,0.244,0.741,4,-6.875,0,0.0593,0.0121,0.812,0.368,0.139,159.899
3rnmsSlIlpccRkorzCmfhC,The Soil in My Hand,4ZYfJQ4ifRU9q4zGCY9cLJ,When Nothing Remains,0Gj4DtLewbzwmFZApKfrQR,249316,2016-02-22,7,0.195,0.225,4,-11.366,0,0.033,0.763,0.001,0.15,0.0742,64.462
1RghtJeUtwMOAuNyMFXYMU,A Lake of Frozen Tears,4ZYfJQ4ifRU9q4zGCY9cLJ,When Nothing Remains,0Gj4DtLewbzwmFZApKfrQR,468425,2016-02-22,9,0.357,0.772,9,-7.474,0,0.0325,0.00729,0.794,0.514,0.0765,80.031
07i3WQfo9bg2lsBNlTPqdd,Eternal Slumber,4ZYfJQ4ifRU9q4zGCY9cLJ,When Nothing Remains,0Gj4DtLewbzwmFZApKfrQR,406756,2016-02-22,7,0.382,0.773,11,-7.191,0,0.0454,0.0134,0.739,0.108,0.14,119.964
1hSB9dxMse7LddlqDxlgxp,While She Sleeps,4ZYfJQ4ifRU9q4zGCY9cLJ,When Nothing Remains,0Gj4DtLewbzwmFZApKfrQR,476148,2016-02-22,6,0.141,0.684,4,-7.732,0,0.0429,0.0198,0.894,0.197,0.153,159.828
2g0dADUEzSi4bnnG1RYtCc,Embrace Her Pain,4ZYfJQ4ifRU9q4zGCY9cLJ,When Nothing Remains,464xmFdwDPM5ckp9BIS5WH,448339,2012-04-19,0,0.431,0.739,5,-7.359,0,0.0432,0.0143,0.411,0.154,0.132,120.017
